;调用文件		地图	X	Y	姓名		范围	代码	刷新时间
衣服NPC/红名村老人 3  848  673   传送\红名村老人  0	1	1
比奇城/比奇屠夫		0102	9	7	比奇屠夫	0	11	1
比奇城/比奇城屠夫	0	313	271	比奇城屠夫	0	4	1
比奇城/比奇卫家店	0103	19	18	比奇卫家店	0	1	1
比奇城/比奇铁匠铺老板	0	302	219	比奇铁匠铺老板	0	0	1
比奇城/比奇安家布衣	0106	19	6	比奇安家布衣	0	7	1
比奇城/比奇老兵		0	331	267	传送员\[伊春传奇]	0	93	1
比奇城/比奇赖家店老板	0108	7	7	比奇赖家店老板	0	1	1
比奇城/比奇夏家店老板	0	324	291	比奇夏家店老板	0	5	1
比奇城/比奇杳水店老板	0109	4	8	比奇杳水店老板	0	9	1
比奇城/陈家铺子老板	0104	5	8	陈家铺子老板	0	2	1
比奇城/比奇书店老板	0	325	250	比奇书店老板	0	2	1
比奇城/比奇麦家铺子	0125	8	6	比奇麦家铺子	0	9	1
比奇城/比奇仓库保管员	0	301	257	比奇仓库保管员	0	12	1
比奇城/比奇杂货铺老板	0	378	298	比奇杂货铺老板	0	3	1
比奇城/比奇戒指店老板	0105	18	6	比奇戒指店老板	0	4	1
比奇城/比奇手镯店老板	0105	12	12	比奇手镯店老板	0	5	1
比奇城/比奇项链店老板	0105	6	18	比奇项链店老板	0	6	1
比奇城/助理小敏		0	628	601	助理小敏	0	5	1
比奇城/助理小敏		0	284	605	助理小敏	0	5	1
银杏新人村/新人村许家店	0119	10	11	新人村许家店	0	1	1
银杏新人村/药房小老板	0119	14	14	药房小老板	0	9	1
银杏新人村/陈家铺老板	0	643	611	陈家铺老板	0	3	1
银杏新人村/精武馆老板	0	649	602	精武馆老板	0	0	1
银杏新人村/高家店老板	0	643	601	高家店老板	0	7	1
银杏新人村/新人村屠夫	0	649	591	新人村屠夫	0	11	1
银杏新人村/廖家店老板	0	621	642	廖家店老板	0	6	1
比奇村/边界村小店老板	0	291	610	边界村小店老板	0	1	1
比奇村/边界村铁匠铺	0	297	612	边界村铁匠铺	0	0	1
比奇村/边界村屠夫	0	293	603	边界村屠夫	0	11	1
比奇村/白家服装老板	0	305	607	白家服装老板	0	7	1
比奇村/边界村书店老板	0132	5	18	边界村书店老板	0	2	1
